word,pos,frequency
kväll,noun,163.87
bildning,noun,163.82
länk,noun,163.54
växa,verb,162.65
per,prep,162.15
offentlig,adjective,161.83
såväl,conj,161.72
våga,verb,161.66
vatten,noun,161.3
håll,noun,161.22
mänsklig,adjective,160.58
demokrati,noun,160.56
fatta,verb,160.43
jord,noun,159.88
känsla,noun,159.45
förändring,noun,159.43
nämna,verb,159.17
tyvärr,adverb,159.15
enskild,adjective,159.02
be,verb,158.82
punkt,noun,158.58
ändring,noun,158.58
mission,noun,158.08
igår,adverb,157.53
kommission,noun,157.33
ort,noun,156.85
anta,verb,156.58
trots att,subj,156.41
spel,noun,156.33
språk,noun,156.31
föreslå,verb,156.27
igenom,prep,154.93
undra,verb,154.38
eget,adjective,154.19
möte,noun,153.97
mat,noun,153.94
gräns,noun,153.55
lyssna,verb,152.94
delta,verb,152.8
annars,adverb,152.6
falla,verb,152.58
nära,adjective,152.36
ungefär,adverb,151.93
starta,verb,151.68
inse,verb,151.51
öppen,adjective,150.86
bidra,verb,150.84
luta,verb,150.2
säkert,adverb,149.46
få,adjective,148.91
övrig,adjective,148.21
dels,conj,148.09
framför allt,adverb,147.43
positiv,adjective,147.36
rolig,adjective,147.33
bero,verb,146.68
minnas,verb,145.43
rösta,verb,145.06
riktig,adjective,144.98
personlig,adjective,143.81
kommentera,verb,142.95
som att,subj,142.78
gilla,verb,142.42
bryta,verb,142.11
innehålla,verb,141.45
liknande,adjective,140.93
inte ens,adverb,140.79
känd,adjective,140.65
helt enkelt,adverb,140.11
exempelvis,adverb,139.94
bjuda,verb,139.86
till och med,adverb,139.7
hävda,verb,139.57
hamna,verb,139.4
det vill säga,adverb,138.07
hinna,verb,137.35
må,verb,135.98
släppa,verb,134.32
enbart,adverb,134.15
nödvändig,adjective,133.42
full,adjective,133.12
passa,verb,132.39
lokal,adjective,132.16
ytterligare,adverb,131.58
öppna,verb,131.53
införa,verb,130.26
hemma,adverb,129.59
därefter,adverb,129.33
efter,adverb,129.33
alldeles,adverb,128.37
sann,adjective,128.33
vacker,adjective,127.57
erbjuda,verb,127.44
modern,adjective,127.04
ingå,verb,126.92
bestå,verb,126.46
konstatera,verb,126.41
nuvarande,adjective,126.21
styra,verb,126.2
förlora,verb,126.19
vit,adjective,126.15
påstå,verb,125.75
besluta,verb,125.13
avse,verb,124.91
privat,adjective,124.48
stödja,verb,123.76
ond,adjective,123.18
utom,prep,122.27
glömma,verb,122.09
kul,adjective,121.6
förändra,verb,121.43
ange,verb,121.39
någonting,pronoun,121.12
älska,verb,120.93
glad,adjective,120.57
presentera,verb,119.78
stanna,verb,119.33
byta,verb,119.29
ingenting,pronoun,118.79
uppleva,verb,118.65
samla,verb,118.53
svart,adjective,118.26
äldre,adjective,117.18
säker,adjective,117.08
lösa,verb,116.34
kolla,verb,116.13
fylla,verb,116.0
drabba,verb,115.55
fara,verb,114.82
tjäna,verb,114.8
behandla,verb,114.58
istället för,prep,113.32
utföra,verb,113.17
räcka,verb,112.94
fundera,verb,112.8
uppstå,verb,111.37
acceptera,verb,111.33
framför,prep,110.51
bilda,verb,110.42
försvinna,verb,110.33
för att,subj,109.47
samtidigt som,subj,108.12
sprida,verb,107.63
förutom,prep,106.41
i samband med,prep,106.3
önska,verb,105.47
publicera,verb,103.98
tillhöra,verb,103.16
omfatta,verb,103.14
befinna,verb,102.66
skilja,verb,102.57
döda,verb,101.92
peka,verb,101.73
ringa,verb,101.34
betrakta,verb,101.05
utifrån,prep,100.69
hänga,verb,100.43
tillåta,verb,99.66
förekomma,verb,98.18
stoppa,verb,98.15
trycka,verb,97.44
rycka,verb,97.44
kosta,verb,97.1
uttrycka,verb,96.1
resa,verb,95.16
förbättra,verb,95.1
rädda,verb,95.09
agera,verb,94.6
flera,pronoun,94.49
uppnå,verb,94.18
därför att,subj,93.55
jämföra,verb,93.52
tills,subj,93.48
hantera,verb,92.87
förvänta,verb,92.79
vika,verb,92.39
döma,verb,92.38
besöka,verb,92.36
täcka,verb,92.1
inleda,verb,92.09
undvika,verb,92.02
höja,verb,91.58
varken…eller,conj,91.32
fast,conj,87.09
oavsett,prep,86.16
sedan,subj,84.79
i form av,prep,84.01
mycket,pronoun,83.53
antingen…eller,conj,83.19
vad gäller,prep,82.23
