word,pos,frequency
agente,NOUN,252.33398035322512
llamado,ADJ,251.3460306374249
dormir,VERB,250.85205577952476
regresar,VERB,250.24185154329516
difícil,ADJ,246.11570861259983
dar él,VERB,245.59267641011732
muerte,NOUN,245.24398827512903
claro,ADV,243.7620637014286
millón,NOUN,243.73300635684623
fiesta,NOUN,243.50054760018733
valer,VERB,243.23903149894608
funcionar,VERB,240.94350127693951
ayuda,NOUN,240.8272718986101
alguno,PRON,240.4785837636217
agua,NOUN,239.9846089057216
mío,PRON,239.46157670323916
robar,VERB,236.96264506915605
escribir,VERB,236.58489958958532
algo,ADV,233.9406812325905
foto,NOUN,231.99383914557225
meter,VERB,231.9066671118252
hecho,NOUN,231.6160936660016
juego,NOUN,231.41269225392503
miedo,NOUN,231.35457756476035
próximo,ADJ,231.325520220178
gracia,NOUN,231.18023349726616
mamá,NOUN,230.4828572272895
puta,NOUN,229.93076768022465
mas,ADV,229.55302220065397
rápido,ADJ,226.06614085077055
ver él,VERB,225.0200764458056
allá,ADV,224.96196175664085
sangre,NOUN,223.59626656126983
jefe,NOUN,221.27167899468097
exactamente,ADV,221.0682775826044
oh,INTJ,220.05127052222176
libro,NOUN,220.02221317763943
sonar,VERB,219.5282383197393
confiar,VERB,219.3829515968275
crees,NOUN,218.83086204976263
culpa,NOUN,218.65651798226844
tío,NOUN,218.3950018810272
coche,NOUN,217.494224198974
asunto,NOUN,215.402095389044
leer,VERB,215.3149233552969
luz,NOUN,214.76283380823205
feliz,ADJ,213.68771205868467
mismo,PRON,213.6005400249376
mayor,ADJ,213.309966579114
mejor,ADV,210.8110349450309
guerra,NOUN,210.17177336421892
fuerte,ADJ,210.05554398588956
posible,ADJ,209.67779850631885
teléfono,NOUN,209.44533974965992
resto,NOUN,209.2419383375834
negocio,NOUN,207.2950962505652
cual,PRON,206.83017873724745
demonio,NOUN,205.60977026478824
comida,NOUN,205.26108212979992
disparar,VERB,205.23202478521756
sea,NOUN,205.2029674406352
hermana,NOUN,203.95350162359364
echar,VERB,203.0236665969581
tanto,DET,202.4134623607285
poder,NOUN,201.86137281366365
hagar,VERB,201.39645530034585
alegrar,VERB,200.49567761829263
tal,DET,200.4085055845456
correr,VERB,198.43260615294503
pronto,ADV,198.40354880836264
subir,VERB,197.4737137817271
salvar,VERB,197.1831403359035
decidir,VERB,196.86350954549752
sitio,NOUN,195.93367451886195
sistema,NOUN,195.64310107303837
peor,ADJ,195.58498638387363
olvidar,VERB,194.3936352559968
arriba,ADV,193.7834310197672
convertir,VERB,192.85359599313165
comenzar,VERB,190.4418363927957
supuesto,ADJ,188.698395717854
genial,ADJ,188.58216633952452
corazón,NOUN,187.2745858333183
deber,VERB,185.44397312462957
tampoco,ADV,184.5722527871587
mensaje,NOUN,184.194507307588
servir,VERB,183.96204855092915
seguridad,NOUN,183.8167618280173
duro,ADJ,183.64241776052316
igual,ADJ,183.49713103761133
vender,VERB,183.2937296255348
noticia,NOUN,183.2646722809524
vivo,ADJ,182.2767225651521
oficina,NOUN,181.8699197409991
siquiera,ADV,181.23065816018715
permitir,VERB,180.9110273697812
verdadero,ADJ,180.27176578896925
acerca,ADV,179.48721748524548
fácil,ADJ,179.31287341775132
alto,ADJ,179.05135731651006
cerrar,VERB,178.67361183693936
romper,VERB,178.06340760070978
orden,NOUN,176.34902427035047
pasado,ADJ,176.34902427035047
escuela,NOUN,176.0293934799445
quizás,ADV,175.97127879077976
aprender,VERB,175.3610745545502
calle,NOUN,175.15767314247364
cuándo,PRON,173.35611777836723
bebé,NOUN,173.3270604337849
información,NOUN,173.00742964337894
sra.,NOUN,172.22288133965515
aunque,SCONJ,170.13075252972516
final,NOUN,170.0145231513957
serio,NOUN,169.40431891516613
veces,NOUN,168.79411467893652
claro,ADJ,167.63182089564208
pie,NOUN,167.60276355105972
incluso,ADV,167.2540754160714
dólares,NOUN,167.0216166594125
grupo,NOUN,166.00460959902986
sr.,VERB,165.94649490986515
nave,NOUN,165.91743756528277
bajar,VERB,165.77215084237096
abajo,ADV,165.77215084237096
mostrar,VERB,164.60985705907652
señora,NOUN,164.52268502532945
aceptar,VERB,164.05776751201165
