ID,lemma,pos,frequency
354,gracia,NOUN,7956
355,mamá,NOUN,7932
356,puta,NOUN,7913
357,mas,ADV,7900
358,rápido,ADJ,7780
359,ver él,VERB,7744
360,allá,ADV,7742
361,sangre,NOUN,7695
362,jefe,NOUN,7615
363,exactamente,ADV,7608
364,oh,INTJ,7573
365,libro,NOUN,7572
366,sonar,VERB,7555
367,confiar,VERB,7550
368,crees,NOUN,7531
369,culpa,NOUN,7525
370,tío,NOUN,7516
371,coche,NOUN,7485
372,asunto,NOUN,7413
373,leer,VERB,7410
374,luz,NOUN,7391
375,estã,PROPN,7364
376,feliz,ADJ,7354
377,mismo,PRON,7351
378,20,NUM,7341
379,mayor,ADJ,7341
380,10,NUM,7313
381,nueva,PROPN,7259
382,mejor,ADV,7255
383,guerra,NOUN,7233
384,fuerte,ADJ,7229
385,posible,ADJ,7216
386,teléfono,NOUN,7208
387,resto,NOUN,7201
388,negocio,NOUN,7134
389,cual,PRON,7118
390,demonio,NOUN,7076
391,comida,NOUN,7064
392,disparar,VERB,7063
393,sea,NOUN,7062
394,hermana,NOUN,7019
395,echar,VERB,6987
396,tanto,DET,6966
397,sabes,PROPN,6955
398,poder,NOUN,6947
399,hagar,VERB,6931
400,alegrar,VERB,6900
401,tal,DET,6897
402,eres,PROPN,6874
403,correr,VERB,6829
404,pronto,ADV,6828
405,subir,VERB,6796
406,salvar,VERB,6786
407,you,PROPN,6780
408,decidir,VERB,6775
409,sitio,NOUN,6743
410,sistema,NOUN,6733
411,peor,ADJ,6731
412,olvidar,VERB,6690
413,arriba,ADV,6669
414,convertir,VERB,6637
415,comenzar,VERB,6554
416,diez,NUM,6547
417,supuesto,ADJ,6494
418,genial,ADJ,6490
419,corazón,NOUN,6445
420,tambiã,ADJ,6391
421,deber,VERB,6382
422,tampoco,ADV,6352
423,mensaje,NOUN,6339
424,servir,VERB,6331
425,seguridad,NOUN,6326
426,duro,ADJ,6320
427,igual,ADJ,6315
428,vender,VERB,6308
429,noticia,NOUN,6307
430,vivo,ADJ,6273
431,medio,NUM,6264
432,tãº,PROPN,6263
433,oficina,NOUN,6259
434,siquiera,ADV,6237
435,permitir,VERB,6226
436,verdadero,ADJ,6204
437,2,NUM,6188
438,acerca,ADV,6177
439,fácil,ADJ,6171
440,alto,ADJ,6162
441,sã,PRON,6150
442,cerrar,VERB,6149
443,romper,VERB,6128
444,estã,NOUN,6104
445,oh,PROPN,6086
446,pasado,ADJ,6069
447,orden,NOUN,6069
448,escuela,NOUN,6058
449,quizás,ADV,6056
450,â¿quã,NUM,6036
451,aprender,VERB,6035
452,sã­,PROPN,6029
453,calle,NOUN,6028
454,cuándo,PRON,5966
455,bebé,NOUN,5965
456,información,NOUN,5954
457,3,NUM,5933
458,sra.,NOUN,5927
459,aunque,SCONJ,5855
460,final,NOUN,5851
461,serio,NOUN,5830
462,veces,NOUN,5809
463,claro,ADJ,5769
464,pie,NOUN,5768
465,incluso,ADV,5756
466,dólares,NOUN,5748
467,5,NUM,5745
468,grupo,NOUN,5713
469,sr.,VERB,5711
470,nave,NOUN,5710
471,abajo,ADV,5705
472,bajar,VERB,5705
473,mostrar,VERB,5665
474,señora,NOUN,5662
475,aceptar,VERB,5646
476,pues,SCONJ,5629
477,crear,VERB,5606
478,mañana,NOUN,5563
479,mío,DET,5551
480,raro,ADJ,5551
481,habitación,NOUN,5550
482,lejos,ADV,5543
483,sentido,NOUN,5541
484,especial,ADJ,5535
485,quitar,VERB,5534
486,digar,VERB,5529
487,tién,NOUN,5528
488,beber,VERB,5527
489,tras,ADP,5522
490,n,PROPN,5517
491,perro,NOUN,5496
492,cambio,NOUN,5489
493,del,DET,5470
494,tal,PRON,5441
495,probar,VERB,5440
496,lleno,ADJ,5435
497,mucho,PRON,5430
498,detrás,ADV,5430
499,l,PROPN,5421
